no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_3h_download_cor1	pre_b_3h_download_cor1	preevento_a_3h	preevento_b_3h	pre_a_2h_download_cor1	pre_b_2h_download_cor1
533	2010-11-04	09:08:15	2010-11-04	11:09:13	45	270	18.413	212.345	83.814	-82.254	84.264	81.864	*	2010-11-04 09:08:15	2010-11-04 11:09:13	2010-11-04 08:08:15	2010-11-04 10:09:13	2010-11-04 07:08:15	2010-11-04 09:09:13	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101104/', '20101104_061000_s4c1A.fts', '20101104_061009_s4c1A.fts', '20101104_061018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101104/', '20101104_080500_s4c1B.fts', '20101104_080509_s4c1B.fts', '20101104_080518_s4c1B.fts']	2010/11/04 06:08:15	2010/11/04 08:09:13	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101104/', '20101104_071000_s4c1A.fts', '20101104_071009_s4c1A.fts', '20101104_071018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101104/', '20101104_090500_s4c1B.fts', '20101104_090509_s4c1B.fts', '20101104_090518_s4c1B.fts']
534	2010-11-08	01:08:15	2010-11-08	00:09:13	315	45	330.738	164.035	83.944	-82.760	84.373	*	*	2010-11-08 01:08:15	2010-11-08 00:09:13	2010-11-08 00:08:15	2010-11-07 23:09:13	2010-11-07 23:08:15	2010-11-07 22:09:13	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101107/', '20101107_221000_s4c1A.fts', '20101107_221009_s4c1A.fts', '20101107_221018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101107/', '20101107_211000_s4c1B.fts', '20101107_211009_s4c1B.fts', '20101107_211018_s4c1B.fts']	2010/11/07 22:08:15	2010/11/07 21:09:13	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101107/', '20101107_231000_s4c1A.fts', '20101107_231009_s4c1A.fts', '20101107_231018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101107/', '20101107_221000_s4c1B.fts', '20101107_221009_s4c1B.fts', '20101107_221018_s4c1B.fts']
535	2010-11-09	03:08:15	2010-11-09	04:09:12	45	315	315.956	149.056	83.984	-82.916	84.405	82.563	*	2010-11-09 03:08:15	2010-11-09 04:09:12	2010-11-09 02:08:15	2010-11-09 03:09:12	2010-11-09 01:08:15	2010-11-09 02:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101109/', '20101109_001000_s4c1A.fts', '20101109_001009_s4c1A.fts', '20101109_001018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101109/', '20101109_011000_s4c1B.fts', '20101109_011009_s4c1B.fts', '20101109_011018_s4c1B.fts']	2010/11/09 00:08:15	2010/11/09 01:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101109/', '20101109_011000_s4c1A.fts', '20101109_011009_s4c1A.fts', '20101109_011018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101109/', '20101109_021000_s4c1B.fts', '20101109_021009_s4c1B.fts', '20101109_021018_s4c1B.fts']
536	2010-11-09	15:08:15	2010-11-09	15:09:12	225	135	309.382	142.395	84.002	-82.985	84.419	*	*	2010-11-09 15:08:15	2010-11-09 15:09:12	2010-11-09 14:08:15	2010-11-09 14:09:12	2010-11-09 13:08:15	2010-11-09 13:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101109/', '20101109_121000_s4c1A.fts', '20101109_121009_s4c1A.fts', '20101109_121018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101109/', '20101109_121000_s4c1B.fts', '20101109_121009_s4c1B.fts', '20101109_121018_s4c1B.fts']	2010/11/09 12:08:15	2010/11/09 12:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101109/', '20101109_131000_s4c1A.fts', '20101109_131009_s4c1A.fts', '20101109_131018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101109/', '20101109_131000_s4c1B.fts', '20101109_131009_s4c1B.fts', '20101109_131018_s4c1B.fts']
537	2010-11-10	13:08:15	2010-11-10	10:09:12	45	315	298.964	131.839	84.031	-83.094	84.442	82.754	*	2010-11-10 13:08:15	2010-11-10 10:09:12	2010-11-10 12:08:15	2010-11-10 09:09:12	2010-11-10 11:08:15	2010-11-10 08:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101110/', '20101110_101000_s4c1A.fts', '20101110_101009_s4c1A.fts', '20101110_101018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101110/', '20101110_071000_s4c1B.fts', '20101110_071009_s4c1B.fts', '20101110_071018_s4c1B.fts']	2010/11/10 10:08:15	2010/11/10 07:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101110/', '20101110_111000_s4c1A.fts', '20101110_111009_s4c1A.fts', '20101110_111018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101110/', '20101110_081000_s4c1B.fts', '20101110_081009_s4c1B.fts', '20101110_081018_s4c1B.fts']
538	2010-11-11	11:08:15	2010-11-11	13:09:12	270	90	285.278	117.972	84.068	-83.238	84.471	*	*	2010-11-11 11:08:15	2010-11-11 13:09:12	2010-11-11 10:08:15	2010-11-11 12:09:12	2010-11-11 09:08:15	2010-11-11 11:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101111/', '20101111_081000_s4c1A.fts', '20101111_081009_s4c1A.fts', '20101111_081018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101111/', '20101111_101000_s4c1B.fts', '20101111_101009_s4c1B.fts', '20101111_101018_s4c1B.fts']	2010/11/11 08:08:15	2010/11/11 10:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101111/', '20101111_091000_s4c1A.fts', '20101111_091009_s4c1A.fts', '20101111_091018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101111/', '20101111_111000_s4c1B.fts', '20101111_111009_s4c1B.fts', '20101111_111018_s4c1B.fts']
539	2010-11-11	18:08:15	2010-11-11	19:09:12	135	225	281.443	114.086	84.079	-83.278	84.479	82.950	*	2010-11-11 18:08:15	2010-11-11 19:09:12	2010-11-11 17:08:15	2010-11-11 18:09:12	2010-11-11 16:08:15	2010-11-11 17:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101111/', '20101111_151000_s4c1A.fts', '20101111_151009_s4c1A.fts', '20101111_151018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101111/', '20101111_161000_s4c1B.fts', '20101111_161009_s4c1B.fts', '20101111_161018_s4c1B.fts']	2010/11/11 15:08:15	2010/11/11 16:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101111/', '20101111_161000_s4c1A.fts', '20101111_161009_s4c1A.fts', '20101111_161018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101111/', '20101111_171000_s4c1B.fts', '20101111_171009_s4c1B.fts', '20101111_171018_s4c1B.fts']
540	2010-11-12	11:08:15	2010-11-12	11:09:12	135	225	272.130	104.651	84.104	-83.375	84.498	83.055	*	2010-11-12 11:08:15	2010-11-12 11:09:12	2010-11-12 10:08:15	2010-11-12 10:09:12	2010-11-12 09:08:15	2010-11-12 09:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101112/', '20101112_081000_s4c1A.fts', '20101112_081009_s4c1A.fts', '20101112_081018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101112/', '20101112_081000_s4c1B.fts', '20101112_081009_s4c1B.fts', '20101112_081018_s4c1B.fts']	2010/11/12 08:08:15	2010/11/12 08:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101112/', '20101112_091000_s4c1A.fts', '20101112_091009_s4c1A.fts', '20101112_091018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101112/', '20101112_091000_s4c1B.fts', '20101112_091009_s4c1B.fts', '20101112_091018_s4c1B.fts']
541	2010-11-13	11:08:15	2010-11-13	13:09:12	90	270	258.983	91.330	84.141	-83.512	84.526	83.202	*	2010-11-13 11:08:15	2010-11-13 13:09:12	2010-11-13 10:08:15	2010-11-13 12:09:12	2010-11-13 09:08:15	2010-11-13 11:09:12		['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101113/', '20101113_101000_s4c1B.fts', '20101113_101009_s4c1B.fts', '20101113_101018_s4c1B.fts']	2010/11/13 08:08:15	2010/11/13 10:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101113/', '20101113_091000_s4c1A.fts', '20101113_091009_s4c1A.fts', '20101113_091018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101113/', '20101113_111000_s4c1B.fts', '20101113_111009_s4c1B.fts', '20101113_111018_s4c1B.fts']
542	2010-11-13	20:08:15	2010-11-13	20:09:12	90	270	254.053	86.335	84.155	-83.564	84.536	83.257	*	2010-11-13 20:08:15	2010-11-13 20:09:12	2010-11-13 19:08:15	2010-11-13 19:09:12	2010-11-13 18:08:15	2010-11-13 18:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101113/', '20101113_171000_s4c1A.fts', '20101113_171009_s4c1A.fts', '20101113_171018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101113/', '20101113_170500_s4c1B.fts', '20101113_170509_s4c1B.fts', '20101113_170518_s4c1B.fts']	2010/11/13 17:08:15	2010/11/13 17:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101113/', '20101113_181000_s4c1A.fts', '20101113_181009_s4c1A.fts', '20101113_181018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101113/', '20101113_180500_s4c1B.fts', '20101113_180509_s4c1B.fts', '20101113_180518_s4c1B.fts']
543	2010-11-14	00:08:15	2010-11-14	02:09:12	270/90	90/225	251.862	84.115	84.161	*	*	*	*	2010-11-14 00:08:15	2010-11-14 02:09:12	2010-11-13 23:08:15	2010-11-14 01:09:12	2010-11-13 22:08:15	2010-11-14 00:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101113/', '20101113_211000_s4c1A.fts', '20101113_211009_s4c1A.fts', '20101113_211018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101113/', '20101113_230500_s4c1B.fts', '20101113_230509_s4c1B.fts', '20101113_230518_s4c1B.fts']	2010/11/13 21:08:15	2010/11/13 23:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101113/', '20101113_221000_s4c1A.fts', '20101113_221009_s4c1A.fts', '20101113_221018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101114/', '20101114_000500_s4c1B.fts', '20101114_000509_s4c1B.fts', '20101114_000518_s4c1B.fts']
544	2010-11-14	19:08:15	2010-11-14	19:09:12	270	90	241.454	73.570	84.190	-83.694	*	*	*	2010-11-14 19:08:15	2010-11-14 19:09:12	2010-11-14 18:08:15	2010-11-14 18:09:12	2010-11-14 17:08:15	2010-11-14 17:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101114/', '20101114_161000_s4c1A.fts', '20101114_161009_s4c1A.fts', '20101114_161018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101114/', '20101114_161000_s4c1B.fts', '20101114_161009_s4c1B.fts', '20101114_161018_s4c1B.fts']	2010/11/14 16:08:15	2010/11/14 16:09:12	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101114/', '20101114_171000_s4c1A.fts', '20101114_171009_s4c1A.fts', '20101114_171018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101114/', '20101114_171000_s4c1B.fts', '20101114_171009_s4c1B.fts', '20101114_171018_s4c1B.fts']
545	2010-11-15	18:08:15	2010-11-15	18:09:11	90	225	228.856	60.806	84.225	-83.825	84.586	83.540	*	2010-11-15 18:08:15	2010-11-15 18:09:11	2010-11-15 17:08:15	2010-11-15 17:09:11	2010-11-15 16:08:15	2010-11-15 16:09:11	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101115/', '20101115_151000_s4c1A.fts', '20101115_151009_s4c1A.fts', '20101115_151018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101115/', '20101115_151000_s4c1B.fts', '20101115_151009_s4c1B.fts', '20101115_151018_s4c1B.fts']	2010/11/15 15:08:15	2010/11/15 15:09:11	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101115/', '20101115_161000_s4c1A.fts', '20101115_161009_s4c1A.fts', '20101115_161018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101115/', '20101115_161000_s4c1B.fts', '20101115_161009_s4c1B.fts', '20101115_161018_s4c1B.fts']
546	2010-11-16	14:08:15	2010-11-16	15:09:11	135	225	217.901	49.708	84.255	-83.938	84.608	83.662	*	2010-11-16 14:08:15	2010-11-16 15:09:11	2010-11-16 13:08:15	2010-11-16 14:09:11	2010-11-16 12:08:15	2010-11-16 13:09:11	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101116/', '20101116_111000_s4c1A.fts', '20101116_111009_s4c1A.fts', '20101116_111018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101116/', '20101116_121000_s4c1B.fts', '20101116_121009_s4c1B.fts', '20101116_121018_s4c1B.fts']	2010/11/16 11:08:15	2010/11/16 12:09:11	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101116/', '20101116_121000_s4c1A.fts', '20101116_121009_s4c1A.fts', '20101116_121018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101116/', '20101116_131000_s4c1B.fts', '20101116_131009_s4c1B.fts', '20101116_131018_s4c1B.fts']
547	2010-11-19	05:08:15	2010-11-19	08:09:11	135	225	183.394	14.749	84.353	-84.292	84.675	84.048	*	2010-11-19 05:08:15	2010-11-19 08:09:11	2010-11-19 04:08:15	2010-11-19 07:09:11	2010-11-19 03:08:15	2010-11-19 06:09:11	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101119/', '20101119_021000_s4c1A.fts', '20101119_021009_s4c1A.fts', '20101119_021018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101119/', '20101119_051000_s4c1B.fts', '20101119_051009_s4c1B.fts', '20101119_051018_s4c1B.fts']	2010/11/19 02:08:15	2010/11/19 05:09:11	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101119/', '20101119_031000_s4c1A.fts', '20101119_031009_s4c1A.fts', '20101119_031018_s4c1A.fts']	
548	2010-11-20	*	2010-11-20	07:09:11	*	360	169.144	0.314	84.393	-84.437	84.702	84.207	168.908		2010-11-20 07:09:11	NaT	2010-11-20 06:09:11	NaT	2010-11-20 05:09:11	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101120/', '20101120_041000_s4c1B.fts', '20101120_041009_s4c1B.fts', '20101120_041018_s4c1B.fts']		2010/11/20 04:09:11	*	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101120/', '20101120_051000_s4c1B.fts', '20101120_051009_s4c1B.fts', '20101120_051018_s4c1B.fts']
549	2010-11-22	01:08:15	2010-11-22	03:09:10	360/90	360/270	146.150	337.022	84.458	-84.671	*	*	*	2010-11-22 01:08:15	2010-11-22 03:09:10	2010-11-22 00:08:15	2010-11-22 02:09:10	2010-11-21 23:08:15	2010-11-22 01:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101121/', '20101121_221000_s4c1A.fts', '20101121_221009_s4c1A.fts', '20101121_221018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101122/', '20101122_001000_s4c1B.fts', '20101122_001009_s4c1B.fts', '20101122_001018_s4c1B.fts']	2010/11/21 22:08:15	2010/11/22 00:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101121/', '20101121_231000_s4c1A.fts', '20101121_231009_s4c1A.fts', '20101121_231018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101122/', '20101122_011000_s4c1B.fts', '20101122_011009_s4c1B.fts', '20101122_011018_s4c1B.fts']
550	2010-11-23	13:08:15	2010-11-23	14:09:10	315	45	126.434	317.051	84.514	-84.870	84.780	*	*	2010-11-23 13:08:15	2010-11-23 14:09:10	2010-11-23 12:08:15	2010-11-23 13:09:10	2010-11-23 11:08:15	2010-11-23 12:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101123/', '20101123_101000_s4c1A.fts', '20101123_101009_s4c1A.fts', '20101123_101018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101123/', '20101123_111000_s4c1B.fts', '20101123_111009_s4c1B.fts', '20101123_111018_s4c1B.fts']	2010/11/23 10:08:15	2010/11/23 11:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101123/', '20101123_111000_s4c1A.fts', '20101123_111009_s4c1A.fts', '20101123_111018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101123/', '20101123_121000_s4c1B.fts', '20101123_121009_s4c1B.fts', '20101123_121018_s4c1B.fts']
551	2010-11-24	09:08:15	2010-11-24	10:09:10	135	270	115.481	305.956	84.545	-84.980	84.800	84.803	*	2010-11-24 09:08:15	2010-11-24 10:09:10	2010-11-24 08:08:15	2010-11-24 09:09:10	2010-11-24 07:08:15	2010-11-24 08:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101124/', '20101124_061000_s4c1A.fts', '20101124_061009_s4c1A.fts', '20101124_061018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101124/', '20101124_071000_s4c1B.fts', '20101124_071009_s4c1B.fts', '20101124_071018_s4c1B.fts']	2010/11/24 06:08:15	2010/11/24 07:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101124/', '20101124_071000_s4c1A.fts', '20101124_071009_s4c1A.fts', '20101124_071018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101124/', '20101124_081000_s4c1B.fts', '20101124_081009_s4c1B.fts', '20101124_081018_s4c1B.fts']
552	2010-11-26	00:08:15	2010-11-26	01:09:10	225	135	94.123	284.324	84.605	-85.194	84.837	*	*	2010-11-26 00:08:15	2010-11-26 01:09:10	2010-11-25 23:08:15	2010-11-26 00:09:10	2010-11-25 22:08:15	2010-11-25 23:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101125/', '20101125_211000_s4c1A.fts', '20101125_211009_s4c1A.fts', '20101125_211018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101125/', '20101125_221000_s4c1B.fts', '20101125_221009_s4c1B.fts', '20101125_221018_s4c1B.fts']	2010/11/25 21:08:15	2010/11/25 22:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101125/', '20101125_221000_s4c1A.fts', '20101125_221009_s4c1A.fts', '20101125_221018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101125/', '20101125_231000_s4c1B.fts', '20101125_231009_s4c1B.fts', '20101125_231018_s4c1B.fts']
553	2010-11-26	11:08:15	2010-11-26	11:09:10	225	135	88.099	278.222	84.622	-85.254	84.847	*	*	2010-11-26 11:08:15	2010-11-26 11:09:10	2010-11-26 10:08:15	2010-11-26 10:09:10	2010-11-26 09:08:15	2010-11-26 09:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101126/', '20101126_081000_s4c1A.fts', '20101126_081009_s4c1A.fts', '20101126_081018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101126/', '20101126_081000_s4c1B.fts', '20101126_081009_s4c1B.fts', '20101126_081018_s4c1B.fts']	2010/11/26 08:08:15	2010/11/26 08:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101126/', '20101126_091000_s4c1A.fts', '20101126_091009_s4c1A.fts', '20101126_091018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101126/', '20101126_091000_s4c1B.fts', '20101126_091009_s4c1B.fts', '20101126_091018_s4c1B.fts']
554	2010-11-27	04:08:15	2010-11-27	04:09:10	225	135	78.789	268.794	84.648	-85.347	84.863	*	*	2010-11-27 04:08:15	2010-11-27 04:09:10	2010-11-27 03:08:15	2010-11-27 03:09:10	2010-11-27 02:08:15	2010-11-27 02:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101127/', '20101127_011000_s4c1A.fts', '20101127_011009_s4c1A.fts', '20101127_011018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101127/', '20101127_011000_s4c1B.fts', '20101127_011009_s4c1B.fts', '20101127_011018_s4c1B.fts']	2010/11/27 01:08:15	2010/11/27 01:09:10	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101127/', '20101127_021000_s4c1A.fts', '20101127_021009_s4c1A.fts', '20101127_021018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101127/', '20101127_021000_s4c1B.fts', '20101127_021009_s4c1B.fts', '20101127_021018_s4c1B.fts']
555	2010-11-29	07:08:15	2010-11-29	08:09:09	90	270	50.860	240.509	84.727	-85.624	84.909	85.518	*	2010-11-29 07:08:15	2010-11-29 08:09:09	2010-11-29 06:08:15	2010-11-29 07:09:09	2010-11-29 05:08:15	2010-11-29 06:09:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101129/', '20101129_041000_s4c1A.fts', '20101129_041009_s4c1A.fts', '20101129_041018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101129/', '20101129_051000_s4c1B.fts', '20101129_051009_s4c1B.fts', '20101129_051018_s4c1B.fts']	2010/11/29 04:08:15	2010/11/29 05:09:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101129/', '20101129_051000_s4c1A.fts', '20101129_051009_s4c1A.fts', '20101129_051018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101129/', '20101129_061000_s4c1B.fts', '20101129_061009_s4c1B.fts', '20101129_061018_s4c1B.fts']
556	2010-11-29	23:08:15	2010-11-29	23:09:09	135/270	45/225	42.099	231.637	84.751	-85.711	*	*	*	2010-11-29 23:08:15	2010-11-29 23:09:09	2010-11-29 22:08:15	2010-11-29 22:09:09	2010-11-29 21:08:15	2010-11-29 21:09:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101129/', '20101129_201000_s4c1A.fts', '20101129_201009_s4c1A.fts', '20101129_201018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101129/', '20101129_201000_s4c1B.fts', '20101129_201009_s4c1B.fts', '20101129_201018_s4c1B.fts']	2010/11/29 20:08:15	2010/11/29 20:09:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101129/', '20101129_211000_s4c1A.fts', '20101129_211009_s4c1A.fts', '20101129_211018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101129/', '20101129_211000_s4c1B.fts', '20101129_211009_s4c1B.fts', '20101129_211018_s4c1B.fts']
557	2010-11-30	22:08:15	2010-11-30	23:09:09	90	270	29.504	218.883	84.786	-85.835	84.944	85.752	*	2010-11-30 22:08:15	2010-11-30 23:09:09	2010-11-30 21:08:15	2010-11-30 22:09:09	2010-11-30 20:08:15	2010-11-30 21:09:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101130/', '20101130_191000_s4c1A.fts', '20101130_191009_s4c1A.fts', '20101130_191018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101130/', '20101130_201000_s4c1B.fts', '20101130_201009_s4c1B.fts', '20101130_201018_s4c1B.fts']	2010/11/30 19:08:15	2010/11/30 20:09:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101130/', '20101130_201000_s4c1A.fts', '20101130_201009_s4c1A.fts', '20101130_201018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101130/', '20101130_211000_s4c1B.fts', '20101130_211009_s4c1B.fts', '20101130_211018_s4c1B.fts']
558	2010-12-02	13:08:15	2010-12-02	16:09:09	270	90	8.148	197.258	84.845	-86.045	*	*	*	2010-12-02 13:08:15	2010-12-02 16:09:09	2010-12-02 12:08:15	2010-12-02 15:09:09	2010-12-02 11:08:15	2010-12-02 14:09:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101202/', '20101202_101000_s4c1A.fts', '20101202_101009_s4c1A.fts', '20101202_101018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101202/', '20101202_131000_s4c1B.fts', '20101202_131009_s4c1B.fts', '20101202_131018_s4c1B.fts']	2010/12/02 10:08:15	2010/12/02 13:09:09	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101202/', '20101202_111000_s4c1A.fts', '20101202_111009_s4c1A.fts', '20101202_111018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101202/', '20101202_141000_s4c1B.fts', '20101202_141009_s4c1B.fts', '20101202_141018_s4c1B.fts']
559	2010-12-05	05:08:15	2010-12-05	07:09:08	270	90	333.104	161.775	84.942	-86.386	85.031	*	*	2010-12-05 05:08:15	2010-12-05 07:09:08	2010-12-05 04:08:15	2010-12-05 06:09:08	2010-12-05 03:08:15	2010-12-05 05:09:08	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101205/', '20101205_021000_s4c1A.fts', '20101205_021009_s4c1A.fts', '20101205_021018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101205/', '20101205_041000_s4c1B.fts', '20101205_041009_s4c1B.fts', '20101205_041018_s4c1B.fts']	2010/12/05 02:08:15	2010/12/05 04:09:08	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101205/', '20101205_031000_s4c1A.fts', '20101205_031009_s4c1A.fts', '20101205_031018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101205/', '20101205_051000_s4c1B.fts', '20101205_051009_s4c1B.fts', '20101205_051018_s4c1B.fts']
560	2010-12-06	17:08:15	2010-12-06	16:09:08	315	45	313.930	142.364	84.995	-86.572	85.059	*	*	2010-12-06 17:08:15	2010-12-06 16:09:08	2010-12-06 16:08:15	2010-12-06 15:09:08	2010-12-06 15:08:15	2010-12-06 14:09:08	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101206/', '20101206_141000_s4c1A.fts', '20101206_141009_s4c1A.fts', '20101206_141018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101206/', '20101206_131000_s4c1B.fts', '20101206_131009_s4c1B.fts', '20101206_131018_s4c1B.fts']	2010/12/06 14:08:15	2010/12/06 13:09:08	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20101206/', '20101206_151000_s4c1A.fts', '20101206_151009_s4c1A.fts', '20101206_151018_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20101206/', '20101206_141000_s4c1B.fts', '20101206_141009_s4c1B.fts', '20101206_141018_s4c1B.fts']
